地区,确诊人数,治愈人数,死亡人数,新增确诊,疑似病例
全国,6014,109,132,1340,9239
湖北,3554,80,125,840,
浙江,296,3,0,123,
广东,241,5,0,34,
湖南,221,0,0,78,
河南,206,1,2,35,
安徽,152,2,0,46,
重庆,147,1,0,15,
山东,121,1,0,34,
江西,109,3,0,0,
四川,108,1,0,18,
北京,102,4,1,11,
江苏,99,1,0,23,
福建,82,0,0,2,
上海,80,5,1,14,
广西,58,2,0,7,
陕西,56,0,0,10,
云南,51,0,0,7,
河北,48,0,1,15,
海南,43,0,1,3,
辽宁,37,0,0,3,
黑龙江,37,0,1,6,
天津,27,0,0,3,
山西,27,0,0,0,
甘肃,24,0,0,5,
内蒙古,16,0,0,3,
新疆,13,0,0,3,
宁夏,12,0,0,1,
贵州,9,1,0,0,
吉林,9,0,0,1,
香港,8,0,0,0,
台湾,8,0,0,0,
澳门,7,0,0,0,
青海,6,0,0,0,
泰国,14,2,0,,
日本,7,1,0,,
新加坡,7,0,0,,
马来西亚,7,0,0,,
美国,5,0,0,,
澳大利亚,5,0,0,,
韩国,4,0,0,,
法国,4,0,0,,
德国,4,0,0,,
越南,2,0,0,,
加拿大,2,0,0,,
尼泊尔,1,0,0,,
斯里兰卡,1,0,0,,
