地区,确诊人数,治愈人数,死亡人数,新增确诊,疑似病例
全国,9809,179,213,1955,15238
湖北,5806,116,204,1220,
浙江,537,9,0,109,
广东,436,9,0,82,
河南,352,3,2,74,
湖南,332,2,0,55,
江西,240,7,0,78,
安徽,237,3,0,37,
重庆,211,1,0,29,
山东,184,2,0,19,
四川,177,1,1,35,
江苏,168,2,0,39,
北京,139,5,1,18,
上海,135,9,1,23,
福建,120,0,0,19,
广西,87,2,0,9,
陕西,87,0,0,24,
云南,83,2,0,7,
河北,82,0,1,17,
黑龙江,59,0,2,16,
海南,51,1,1,5,
辽宁,48,1,0,7,
山西,39,1,0,4,
天津,32,0,0,1,
贵州,29,1,0,17,
甘肃,29,0,0,-,
宁夏,21,0,0,4,
内蒙古,20,1,0,2,
新疆,17,0,0,3,
吉林,14,1,0,-,
香港,12,0,0,2,
台湾,9,0,0,-,
青海,8,0,0,-,
澳门,7,0,0,-,
西藏,1,0,0,-,
泰国,14,2,0,,
日本,13,1,0,,
新加坡,13,0,0,,
韩国,11,0,0,,
澳大利亚,9,2,0,,
马来西亚,8,0,0,,
美国,6,0,0,,
法国,6,0,0,,
越南,5,0,0,,
德国,5,0,0,,
阿联酋,4,0,0,,
加拿大,3,0,0,,
意大利,2,0,0,,
英国,2,0,0,,
尼泊尔,1,0,0,,
斯里兰卡,1,0,0,,
芬兰,1,0,0,,
菲律宾,1,0,0,,
