地区,确诊人数,治愈人数,死亡人数,新增确诊,疑似病例
全国,20504,678,426,3188,23214
湖北,13522,396,414,2345
浙江,829,49,0,105
广东,797,28,0,114
河南,675,20,2,109
湖南,593,26,0,72
安徽,480,20,0,72
江西,476,19,0,85
重庆,344,9,2,32
江苏,308,10,0,37
四川,282,14,1,28
山东,275,9,0,15
北京,228,23,1,
上海,219,12,1,16
福建,194,2,0,15
黑龙江,155,4,2,37
陕西,142,1,0,14
广西,139,10,0,12
河北,126,4,1,13
云南,119,5,0,6
海南,80,4,1,8
辽宁,77,2,0,3
山西,74,2,0,8
天津,66,1,0,6
贵州,56,2,0,10
甘肃,55,3,0,
吉林,42,1,0,11
内蒙古,35,1,0,1
宁夏,34,1,0,3
新疆,29,0,0,5
香港,17,0,1,2
青海,15,0,0,2
澳门,10,0,0,2
台湾,10,0,0,
西藏,1,0,0,
日本,20,1,0,
泰国,19,7,0,
新加坡,18,0,0,
韩国,16,0,0,
美国,16,1,0,
澳大利亚,12,2,0,
德国,12,0,0,
马来西亚,10,0,0,
越南,9,0,0,
法国,6,0,0,
阿联酋,5,0,0,
加拿大,4,0,0,
印度,3,0,0,
菲律宾,2,0,1,
意大利,2,0,0,
英国,2,0,0,
俄罗斯,2,0,0,
尼泊尔,1,0,0,
斯里兰卡,1,1,0,
芬兰,1,0,0,
瑞典,1,0,0,
柬埔寨,1,0,0,
截至 2020-02-04 17:03:14
